
 num     #instances         #bytes  class name
 318:             5            200  java.util.stream.StreamOpFlag
 319:             2            192  [Ljava.util.regex.UnicodeProp;
 320:            12            192  com.sun.proxy.$Proxy4
 321:             6            192  java.io.CharArrayWriter
 322:             6            192  java.lang.StringCoding$StringDecoder
 323:             6            192  java.lang.invoke.LambdaForm$BasicType
 324:             8            192  java.lang.invoke.MethodHandleImpl$Intrinsic
 325:             8            192  java.math.RoundingMode
 326:             8            192  java.net.NetPermission
 327:            12            192  java.net.URLClassLoader$3$1
 328:             8            192  java.util.Collections$1
 329:             4            192  java.util.TreeMap
 330:             8            192  java.util.regex.Pattern$Ques
 331:             8            192  java.util.stream.Collectors$$Lambda$138/143695640
 332:             8            192  org.junit.platform.engine.UniqueId$Segment
 333:             4            192  org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolution
 334:             8            192  org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolution$$Lambda$49/1227074340
 335:             8            192  org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolution$$Lambda$95/24606376
 336:             8            192  org.junit.platform.engine.support.discovery.SelectorResolver$Match
 337:             8            192  sun.misc.ProxyGenerator$ConstantPool
 338:             2            192  sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry
 339:             8            192  sun.reflect.NativeMethodAccessorImpl
 340:             8            192  sun.reflect.annotation.AnnotationType$1
 341:            11            176  java.util.LinkedHashMap$LinkedEntrySet
 342:             2            176  sun.net.www.protocol.jar.JarURLConnection
 343:             5            168  [Ljava.util.Formatter$FormatString;
 344:             1            168  [[Ljava.math.BigInteger;
 345:             7            168  java.util.regex.Pattern$Ctype
 346:             7            168  java.util.stream.ForEachOps$ForEachOp$OfRef
 347:             7            168  org.junit.platform.launcher.core.TestExecutionListenerRegistry$$Lambda$165/1571967156
 348:             4            160  java.io.BufferedInputStream
 349:             5            160  java.lang.IncompatibleClassChangeError
 350:             4            160  java.lang.invoke.BoundMethodHandle$Species_LL
 351:             4            160  java.security.PrivilegedActionException
 352:             5            160  java.util.AbstractList$ListItr
 353:             5            160  java.util.Collections$UnmodifiableMap
 354:             5            160  java.util.Formatter
 355:             4            160  java.util.HashMap$KeyIterator
 356:             5            160  java.util.LinkedList
 357:             5            160  java.util.RandomAccessSubList
 358:             4            160  java.util.ServiceLoader$LazyIterator
 359:             4            160  org.junit.jupiter.engine.execution.JupiterEngineExecutionContext$State
 360:             2            160  sun.net.www.protocol.jar.URLJarFile
 361:             4            160  sun.util.locale.LanguageTag
 362:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type
 363:             4            144  [Ljava.lang.invoke.MethodType;
 364:             2            144  [Ljava.math.BigDecimal;
 365:             6            144  java.lang.Class$4
 366:             9            144  java.util.LinkedHashMap$LinkedValues
 367:             3            144  java.util.Properties$LineReader
 368:             3            144  org.junit.platform.engine.support.hierarchical.NodeTestTask
 369:             6            144  sun.misc.PerfCounter
 370:             3            144  sun.misc.URLClassPath
 371:             6            144  sun.security.util.DisabledAlgorithmConstraints$Constraint$Operator
 372:             6            144  sun.usagetracker.UsageTrackerClient$1
 373:             2            128  java.io.ExpiringCache$1
 374:             4            128  java.lang.NoSuchMethodException
 375:             4            128  java.util.RegularEnumSet
 376:             4            128  java.util.ServiceLoader
 377:             4            128  java.util.Stack
 378:             8            128  java.util.regex.Pattern$BranchConn
 379:             2            128  java.util.stream.ReferencePipeline$7
 380:             2            128  org.junit.jupiter.engine.descriptor.ClassTestDescriptor
 381:             8            128  org.junit.platform.commons.util.AnnotationUtils$$Lambda$83/660879561
 382:             2            128  org.junit.platform.commons.util.LruCache
 383:             8            128  org.junit.platform.engine.UniqueIdFormat$$Lambda$137/2052256418
 384:             8            128  org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolver$$Lambda$41/445288316
 385:             8            128  org.junit.platform.launcher.core.DefaultDiscoveryRequest$$Lambda$34/1384722895
 386:             8            128  org.junit.platform.launcher.core.DefaultDiscoveryRequest$$Lambda$35/245475541
 387:             2            128  sun.nio.cs.ext.DoubleByte$Encoder
 388:             8            128  sun.reflect.DelegatingMethodAccessorImpl
 389:             4            128  sun.reflect.MethodAccessorGenerator$1
 390:             4            120  [Ljava.security.ProtectionDomain;
 391:             1            120  [[Ljava.lang.String;
 392:             3            120  java.lang.invoke.MethodHandleImpl$AsVarargsCollector
 393:             5            120  java.util.Collections$SingletonList
 394:             5            120  java.util.SubList$1
 395:             5            120  java.util.regex.Pattern$SingleU
 396:             5            120  java.util.stream.StreamOpFlag$Type
 397:             5            120  org.apiguardian.api.API$Status
